OID_,Field1,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,lat,long,stationame,station_id_min_2020,monthtotal_sum_2019,monthtotal_sum_2020,F_2019_2020__2019,F2019_2020
189,188,30073,S,Washington (Forest Pk-bound),Washington,Washington (Blue Line),40370,False,False,True,False,False,False,False,False,False,False,"(41.883164, -87.62944)",41.883164000000001,-87.629440000000002,Washington/Dearborn,40370,4176948,1195974,0.713672758195697,2980974
190,189,30126,S,North/Clybourn (95th-bound),North/Clybourn,North/Clybourn (Red Line),40650,False,True,False,False,False,False,False,False,False,False,"(41.910655, -87.649177)",41.910654999999998,-87.649176999999995,North/Clybourn,40650,1780616,609284,0.657824033929831,1171332
191,190,30065,S,Grand/State (95th-bound),Grand,Grand (Red Line),40330,True,True,False,False,False,False,False,False,False,False,"(41.891665, -87.628021)",41.891665000000003,-87.628021000000004,Grand/State,40330,3780031,1009625,0.732905629609916,2770406
192,191,30105,N,Wilson (Howard-bound),Wilson,Wilson (Red & Purple lines),40540,True,True,False,False,False,False,False,False,False,False,"(41.964273, -87.657588)",41.964272999999999,-87.657588000000004,Wilson,40540,2043387,857136,0.580531734810880,1186251
193,192,30035,W,Oak Park (Forest Pk-bound),Oak Park,Oak Park (Blue Line),40180,False,False,True,False,False,False,False,False,False,False,"(41.872108, -87.791602)",41.872107999999997,-87.791601999999997,Oak Park-Forest Park,40180,504438,151589,0.699489332683105,352849
194,193,30023,S,35th/Archer (Midway-bound),35th/Archer,35th/Archer (Orange Line),40120,True,False,False,False,False,False,False,False,False,True,"(41.829353, -87.680622)",41.829352999999998,-87.680622000000000,35th/Archer,40120,896292,326259,0.635990279953408,570033
195,194,30163,N,South Blvd (Linden-bound),South Boulevard,South Boulevard (Purple Line),40840,False,False,False,False,False,True,True,False,False,False,"(42.027612, -87.678329)",42.027611999999998,-87.678329000000005,South Boulevard,40840,232812,90922,0.609461711595622,141890
196,195,30006,W,Pulaski (Harlem-bound),Pulaski,Pulaski (Green Line),40030,True,False,False,True,False,False,False,False,False,False,"(41.885412, -87.725404)",41.885412000000002,-87.725403999999997,Pulaski-Lake,40030,455496,234734,0.484662872999982,220762
197,196,30188,W,Cicero (Forest Pk-bound),Cicero,Cicero (Blue Line),40970,False,False,True,False,False,False,False,False,False,False,"(41.871574, -87.745154)",41.871574000000003,-87.745153999999999,Cicero-Forest Park,40970,408539,211816,0.481528079326576,196723
198,197,30109,N,Jackson/State (Howard-bound),Jackson,Jackson (Red Line),40560,True,True,False,False,False,False,False,False,False,False,"(41.878153, -87.627596)",41.878152999999998,-87.627595999999997,Jackson/State,40560,2601587,769130,0.704361222592210,1832457
199,198,30230,S,Argyle (95th-bound),Argyle,Argyle (Red Line),41200,False,True,False,False,False,False,False,False,False,False,"(41.973453, -87.65853)",41.973452999999999,-87.658529999999999,Argyle,41200,970130,367329,0.621361054704009,602801
200,199,30281,N,Irving Park (Kimball-bound),Irving Park,Irving Park (Brown Line),41460,True,False,False,False,True,False,False,False,False,False,"(41.954521, -87.674868)",41.954521000000000,-87.674868000000004,Irving Park-Brown,41460,947338,281442,0.702912793533037,665896
201,200,30080,N,Roosevelt (Loop-Harlem-bound),Roosevelt,"Roosevelt (Red, Orange & Green lines)",41400,True,False,False,True,False,False,False,False,False,True,"(41.867405, -87.62659)",41.867404999999998,-87.626589999999993,Roosevelt,41400,3466910,1313925,0.621009775275389,2152985
